Region,IncomeGroup,Country
Middle East & North Africa,Upper middle income,Algeria
Latin America & Caribbean,Upper middle income,Ecuador
Middle East & North Africa,Lower middle income,"Egypt, Arab Rep."
Sub-Saharan Africa,Low income,Eritrea
Europe & Central Asia,High income,Spain
Europe & Central Asia,High income,Estonia
Sub-Saharan Africa,Low income,Ethiopia
Europe & Central Asia,High income,Finland
East Asia & Pacific,Upper middle income,Fiji
Europe & Central Asia,High income,France
Europe & Central Asia,High income,Faroe Islands
East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts."
Sub-Saharan Africa,Upper middle income,Gabon
Europe & Central Asia,High income,United Kingdom
Europe & Central Asia,Lower middle income,Georgia
Sub-Saharan Africa,Lower middle income,Ghana
Europe & Central Asia,High income,Gibraltar
Sub-Saharan Africa,Low income,Guinea
Sub-Saharan Africa,Low income,"Gambia, The"
Sub-Saharan Africa,Low income,Guinea-Bissau
Sub-Saharan Africa,Upper middle income,Equatorial Guinea
Europe & Central Asia,High income,Greece
Latin America & Caribbean,Upper middle income,Grenada
Europe & Central Asia,High income,Greenland
Latin America & Caribbean,Upper middle income,Guatemala
East Asia & Pacific,High income,Guam
Latin America & Caribbean,Upper middle income,Guyana
East Asia & Pacific,High income,"Hong Kong SAR, China"
Latin America & Caribbean,Lower middle income,Honduras
Europe & Central Asia,High income,Croatia
Latin America & Caribbean,Low income,Haiti
Europe & Central Asia,High income,Hungary
East Asia & Pacific,Lower middle income,Indonesia
Europe & Central Asia,High income,Isle of Man
South Asia,Lower middle income,India
Europe & Central Asia,High income,Ireland
Middle East & North Africa,Upper middle income,"Iran, Islamic Rep."
Middle East & North Africa,Upper middle income,Iraq
Europe & Central Asia,High income,Iceland
Middle East & North Africa,High income,Israel
Europe & Central Asia,High income,Italy
Latin America & Caribbean,Upper middle income,Jamaica
Middle East & North Africa,Upper middle income,Jordan
East Asia & Pacific,High income,Japan
Europe & Central Asia,Upper middle income,Kazakhstan
Sub-Saharan Africa,Lower middle income,Kenya
Europe & Central Asia,Lower middle income,Kyrgyz Republic
East Asia & Pacific,Lower middle income,Cambodia
East Asia & Pacific,Lower middle income,Kiribati
Latin America & Caribbean,High income,St. Kitts and Nevis
East Asia & Pacific,High income,"Korea, Rep."
Middle East & North Africa,High income,Kuwait
East Asia & Pacific,Lower middle income,Lao PDR
Middle East & North Africa,Upper middle income,Lebanon
Sub-Saharan Africa,Low income,Liberia
Middle East & North Africa,Upper middle income,Libya
Latin America & Caribbean,Upper middle income,St. Lucia
Europe & Central Asia,High income,Liechtenstein
South Asia,Lower middle income,Sri Lanka
Sub-Saharan Africa,Lower middle income,Lesotho
Europe & Central Asia,High income,Lithuania
Europe & Central Asia,High income,Luxembourg
Europe & Central Asia,High income,Latvia
East Asia & Pacific,High income,"Macao SAR, China"
Latin America & Caribbean,High income,St. Martin (French part)
Middle East & North Africa,Lower middle income,Morocco
Europe & Central Asia,High income,Monaco
Europe & Central Asia,Lower middle income,Moldova
Sub-Saharan Africa,Low income,Madagascar
South Asia,Upper middle income,Maldives
Latin America & Caribbean,Upper middle income,Mexico
East Asia & Pacific,Upper middle income,Marshall Islands
Europe & Central Asia,Upper middle income,North Macedonia
Sub-Saharan Africa,Low income,Mali
Middle East & North Africa,High income,Malta
East Asia & Pacific,Lower middle income,Myanmar
Europe & Central Asia,Upper middle income,Montenegro
East Asia & Pacific,Lower middle income,Mongolia
East Asia & Pacific,High income,Northern Mariana Islands
Sub-Saharan Africa,Low income,Mozambique
Sub-Saharan Africa,Lower middle income,Mauritania
Sub-Saharan Africa,Upper middle income,Mauritius
Sub-Saharan Africa,Low income,Malawi
East Asia & Pacific,Upper middle income,Malaysia
Sub-Saharan Africa,Upper middle income,Namibia
East Asia & Pacific,High income,New Caledonia
Sub-Saharan Africa,Low income,Niger
Sub-Saharan Africa,Lower middle income,Nigeria
Latin America & Caribbean,Lower middle income,Nicaragua
Europe & Central Asia,High income,Netherlands
Europe & Central Asia,High income,Norway
South Asia,Low income,Nepal
East Asia & Pacific,Upper middle income,Nauru
East Asia & Pacific,High income,New Zealand
Middle East & North Africa,High income,Oman
South Asia,Lower middle income,Pakistan
Latin America & Caribbean,High income,Panama
Latin America & Caribbean,Upper middle income,Peru
East Asia & Pacific,Lower middle income,Philippines
East Asia & Pacific,High income,Palau
East Asia & Pacific,Lower middle income,Papua New Guinea
Europe & Central Asia,High income,Poland
Latin America & Caribbean,High income,Puerto Rico
East Asia & Pacific,Low income,"Korea, Dem. People’s Rep."
Europe & Central Asia,High income,Portugal
Latin America & Caribbean,Upper middle income,Paraguay
Middle East & North Africa,Lower middle income,West Bank and Gaza
East Asia & Pacific,High income,French Polynesia
Middle East & North Africa,High income,Qatar
Europe & Central Asia,Upper middle income,Romania
Europe & Central Asia,Upper middle income,Russian Federation
Sub-Saharan Africa,Low income,Rwanda
Middle East & North Africa,High income,Saudi Arabia
Sub-Saharan Africa,Lower middle income,Sudan
Sub-Saharan Africa,Low income,Senegal
East Asia & Pacific,High income,Singapore
East Asia & Pacific,Lower middle income,Solomon Islands
Sub-Saharan Africa,Low income,Sierra Leone
Latin America & Caribbean,Lower middle income,El Salvador
Europe & Central Asia,High income,San Marino
Sub-Saharan Africa,Low income,Somalia
Europe & Central Asia,Upper middle income,Serbia
Sub-Saharan Africa,Low income,South Sudan
Sub-Saharan Africa,Lower middle income,São Tomé and Principe
Latin America & Caribbean,Upper middle income,Suriname
Europe & Central Asia,High income,Slovak Republic
Europe & Central Asia,High income,Slovenia
Europe & Central Asia,High income,Sweden
Sub-Saharan Africa,Lower middle income,Eswatini
Latin America & Caribbean,High income,Sint Maarten (Dutch part)
Sub-Saharan Africa,High income,Seychelles
Middle East & North Africa,Low income,Syrian Arab Republic
Latin America & Caribbean,High income,Turks and Caicos Islands
Sub-Saharan Africa,Low income,Chad
Sub-Saharan Africa,Low income,Togo
East Asia & Pacific,Upper middle income,Thailand
Europe & Central Asia,Low income,Tajikistan
Europe & Central Asia,Upper middle income,Turkmenistan
East Asia & Pacific,Lower middle income,Timor-Leste
East Asia & Pacific,Upper middle income,Tonga
Latin America & Caribbean,High income,Trinidad and Tobago
Middle East & North Africa,Lower middle income,Tunisia
Europe & Central Asia,Upper middle income,Turkey
East Asia & Pacific,Upper middle income,Tuvalu
Sub-Saharan Africa,Low income,Tanzania
Sub-Saharan Africa,Low income,Uganda
Europe & Central Asia,Lower middle income,Ukraine
Latin America & Caribbean,High income,Uruguay
North America,High income,United States
Europe & Central Asia,Lower middle income,Uzbekistan
Latin America & Caribbean,Upper middle income,St. Vincent and the Grenadines
Latin America & Caribbean,Upper middle income,"Venezuela, RB"
Latin America & Caribbean,High income,British Virgin Islands
Latin America & Caribbean,High income,Virgin Islands (U.S.)
East Asia & Pacific,Lower middle income,Vietnam
East Asia & Pacific,Lower middle income,Vanuatu
East Asia & Pacific,Upper middle income,Samoa
Europe & Central Asia,Lower middle income,Kosovo
Middle East & North Africa,Low income,"Yemen, Rep."
Sub-Saharan Africa,Upper middle income,South Africa
Sub-Saharan Africa,Lower middle income,Zambia
Sub-Saharan Africa,Low income,Zimbabwe
